Time,Weight,Humidity,Flow,Temperature
2017-01-01 05:00:00,52.695097777777825,92.40666666666674,0.0,-0.3275903903903908
2017-01-01 06:00:00,52.68519999999999,92.26999999999998,0.0,-0.40925000000000017
2017-01-01 07:00:00,52.68866666666666,92.575,0.0,-0.6683637681159423
2017-01-01 08:00:00,52.67426666666666,92.84000000000007,0.0,-0.9668583333333332
2017-01-01 09:00:00,52.59531999999997,93.63999999999996,0.0,-1.6231894927536232
2017-01-01 10:00:00,52.42056666666665,93.76833333333336,-1.0,-1.4359195652173913
2017-01-01 11:00:00,52.48217500000001,92.95000000000006,-2.0,-0.7219028985507245
2017-01-01 12:00:00,52.55691166666665,92.08000000000004,0.0,-0.17875253623188422
2017-01-01 13:00:00,52.64546666666668,91.35666666666668,-2.0,0.3854956521739129
2017-01-01 14:00:00,52.70866666666671,91.07166666666667,0.0,0.6026050724637682
2017-01-01 15:00:00,52.73373333333334,90.99666666666668,0.0,0.6105655797101448
2017-01-01 16:00:00,52.73720000000001,90.94499999999998,-1.0,0.5291079710144924
2017-01-01 17:00:00,52.74066666666667,90.97333333333326,0.0,0.5340945652173913
2017-01-01 18:00:00,52.73213333333332,91.01333333333338,0.0,0.5279373188405794
2017-01-01 19:00:00,52.74839999999997,91.17999999999992,0.0,0.386909420289855
2017-01-01 20:00:00,52.7318666666667,91.74166666666677,0.0,0.17833188405797104
2017-01-01 21:00:00,52.6966666666667,91.57833333333336,0.0,0.2973557971014492
2017-01-01 22:00:00,52.66199999999999,92.55333333333333,0.0,0.2955894927536229
2017-01-01 23:00:00,52.64546666666669,93.17999999999998,0.0,0.3747822463768116
2017-01-02 00:00:00,52.6492,92.68166666666669,0.0,0.15410398550724622
2017-01-02 01:00:00,52.639600000000044,92.49833333333332,0.0,0.0009561594202898537
2017-01-02 02:00:00,52.643866666666725,92.93833333333336,0.0,0.07650905797101455
2017-01-02 03:00:00,52.64813333333333,93.53333333333329,0.0,0.4036902173913042
